year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2015,11,Jacksonville Jaguars,Tennessee Titans,2015-11-19,8:26PM,Jacksonville,/boxscores/201511190jax.htm,Jaguars (deferred),,outdoors,grass ,3:08,"60,121",Jacksonville Jaguars -2.5,43.0 (under),75 degrees, relative humidity 90%," wind 5 mph, wind chill 0"
2015,11,Indianapolis Colts,Atlanta Falcons,2015-11-22,1:02PM,Atlanta,/boxscores/201511220atl.htm,Falcons (deferred),,dome,fieldturf ,3:05,"70,433",Atlanta Falcons -4.5,47.5 (under),,,
2015,11,Carolina Panthers,Washington Redskins,2015-11-22,1:02PM,Carolina,/boxscores/201511220car.htm,Redskins (deferred),,outdoors,grass ,3:08,"74,418",Carolina Panthers -7.0,44.5 (over),50 degrees, relative humidity 63%, wind 8 mph
2015,11,Denver Broncos,Chicago Bears,2015-11-22,1:02PM,Chicago,/boxscores/201511220chi.htm,Broncos (deferred),,outdoors,grass ,3:01,"62,483",Denver Broncos -1.0,41.0 (under),29 degrees, relative humidity 57%," wind 9 mph, wind chill 21"
2015,11,Detroit Lions,Oakland Raiders,2015-11-22,1:02PM,Detroit,/boxscores/201511220det.htm,Raiders (deferred),,dome,fieldturf ,2:54,"60,202",Oakland Raiders -1.0,49.0 (under),,,
2015,11,Tampa Bay Buccaneers,Philadelphia Eagles,2015-11-22,1:02PM,Philadelphia,/boxscores/201511220phi.htm,Buccaneers (deferred),,outdoors,grass ,3:13,"69,596",Philadelphia Eagles -6.0,44.5 (over),48 degrees, relative humidity 41%, wind 15 mph
2015,11,Baltimore Ravens,St. Louis Rams,2015-11-22,1:02PM,Baltimore,/boxscores/201511220rav.htm,Rams,,outdoors,sportturf,3:17,"71,105",Baltimore Ravens -2.5,42.0 (under),47 degrees, relative humidity 39%, wind 14 mph
2015,11,Dallas Cowboys,Miami Dolphins,2015-11-22,1:03PM,Miami,/boxscores/201511220mia.htm,Dolphins,,outdoors,grass ,3:04,"65,115",Dallas Cowboys -1.5,46.0 (under),74 degrees, relative humidity 90%," wind 10 mph, wind chill 0"
2015,11,Houston Texans,New York Jets,2015-11-22,1:03PM,Houston,/boxscores/201511220htx.htm,Jets (deferred),,retractable roof (closed),fieldturf,3:13,"71,718",New York Jets -3.0,40.5 (over),,,
2015,11,Kansas City Chiefs,San Diego Chargers,2015-11-22,4:05PM,San Diego,/boxscores/201511220sdg.htm,Chargers (deferred),,outdoors,grass ,2:58,"65,837",Kansas City Chiefs -3.0,45.0 (under),87 degrees, relative humidity 12%," wind 4 mph, wind chill 0"
2015,11,Green Bay Packers,Minnesota Vikings,2015-11-22,4:25PM,Minnesota,/boxscores/201511220min.htm,Packers (deferred),,outdoors,fieldturf,3:15,"52,529",Minnesota Vikings -1.0,44.0 (under),30 degrees, relative humidity 0%," wind 8 mph, wind chill 0"
2015,11,Seattle Seahawks,San Francisco 49ers,2015-11-22,4:27PM,Seattle,/boxscores/201511220sea.htm,Seahawks (deferred),,outdoors,fieldturf ,3:06,"68,993",Seattle Seahawks -13.5,40.0 (over),46 degrees, relative humidity 60%, wind 6 mph
2015,11,Arizona Cardinals,Cincinnati Bengals,2015-11-22,8:30PM,Arizona,/boxscores/201511220crd.htm,Cardinals,,retractable roof (closed),grass ,3:18,"64,745",Arizona Cardinals -4.5,48.5 (over),,,
2015,11,New England Patriots,Buffalo Bills,2015-11-23,8:30PM,New England,/boxscores/201511230nwe.htm,Patriots (deferred),,outdoors,fieldturf ,3:32,"66,829",New England Patriots -7.0,48.0 (under),29 degrees, relative humidity 40%," wind 8 mph, wind chill 21"
