name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Justin Tucker,BAL,2024,1,K,2,2,3,2,"['25', '32']",7.199999999999999
Harrison Butker,KAN,2024,1,K,3,3,2,2,"['32', '31']",9.3
Brayden Narveson,GNB,2024,1,K,2,2,4,3,"['31', '23', '26']",10.1
Jake Elliott,PHI,2024,1,K,4,4,2,2,"['38', '21']",10.8
Chris Boswell,PIT,2024,1,K,0,0,6,6,"['57', '51', '44', '56', '40', '25']",27.8
Younghoe Koo,ATL,2024,1,K,1,1,1,1,['24'],4.0
Matt Prater,ARI,2024,1,K,2,2,2,2,"['29', '31']",8.1
Tyler Bass,BUF,2024,1,K,4,4,2,2,"['37', '39']",11.6
Eddy Pineiro,CAR,2024,1,K,1,1,1,1,['43'],5.3
Blake Grupe,NOR,2024,1,K,5,5,4,4,"['57', '44', '52', '39']",24.2
Nick Folk,TEN,2024,1,K,2,2,1,1,['40'],6.0
Cairo Santos,CHI,2024,1,K,1,1,3,3,"['24', '50', '48']",13.8
Joey Slye,NWE,2024,1,K,1,1,3,3,"['32', '35', '37']",11.4
Evan McPherson,CIN,2024,1,K,1,1,1,1,['51'],6.1
Ka'imi Fairbairn,HOU,2024,1,K,2,2,3,3,"['51', '50', '51']",17.2
Spencer Shrader,IND,2024,1,K,3,3,0,0,0,3.0
Cam Little,JAX,2024,1,K,2,2,1,1,['53'],7.3
Jason Sanders,MIA,2024,1,K,2,2,3,2,"['37', '52']",9.9
Will Reichard,MIN,2024,1,K,4,4,0,0,0,4.0
Graham Gano,NYG,2024,1,K,0,0,2,2,"['23', '50']",8.0
Wil Lutz,DEN,2024,1,K,1,1,3,3,"['35', '30', '45']",12.0
Jason Myers,SEA,2024,1,K,2,2,2,2,"['50', '28']",10.0
Daniel Carlson,LVR,2024,1,K,1,1,2,1,['32'],3.2
Cameron Dicker,LAC,2024,1,K,1,1,3,3,"['53', '25', '24']",12.3
Brandon Aubrey,DAL,2024,1,K,3,3,4,4,"['57', '40', '50', '46']",22.3
Dustin Hopkins,CLE,2024,1,K,2,2,1,1,['51'],7.1
Cade York,WAS,2024,1,K,2,2,2,0,0,0.0
Chase McLaughlin,TAM,2024,1,K,4,4,3,3,"['56', '34', '29']",16.0
Joshua Karty,LAR,2024,1,K,2,2,2,2,"['41', '26']",9.1
Jake Bates,DET,2024,1,K,2,2,2,2,"['25', '32']",8.2
Greg Zuerlein,NYJ,2024,1,K,1,1,0,0,0,1.0
Jake Moody,SFO,2024,1,K,2,2,6,6,"['46', '51', '31', '53', '23', '42']",27.3
Tyler Bass,BUF,2024,2,K,4,4,2,1,['43'],7.300000000000001
Jason Sanders,MIA,2024,2,K,1,1,1,1,['34'],4.4
Cameron Dicker,LAC,2024,2,K,3,2,2,2,"['46', '42']",9.8
Eddy Pineiro,CAR,2024,2,K,0,0,1,1,['38'],3.8
Dustin Hopkins,CLE,2024,2,K,1,1,3,3,"['53', '38', '44']",14.5
Cam Little,JAX,2024,2,K,1,1,3,2,"['22', '25']",6.0
Matt Gay,IND,2024,2,K,1,1,2,1,['34'],3.4000000000000004
Brayden Narveson,GNB,2024,2,K,1,1,4,3,"['46', '42', '34']",12.2
Blake Grupe,NOR,2024,2,K,6,5,1,1,['26'],7.0
Brandon Aubrey,DAL,2024,2,K,1,1,4,4,"['52', '38', '48', '40']",18.8
Chase McLaughlin,TAM,2024,2,K,2,2,2,2,"['30', '55']",10.5
Jake Bates,DET,2024,2,K,1,1,3,3,"['22', '35', '32']",10.7
Jake Moody,SFO,2024,2,K,2,2,1,1,['31'],5.1
Will Reichard,MIN,2024,2,K,2,2,3,3,"['22', '39', '27']",11.9
Jason Myers,SEA,2024,2,K,2,2,3,3,"['44', '38', '31']",13.3
Joey Slye,NWE,2024,2,K,2,2,3,2,"['29', '28']",7.0
Jamie Gillan,NYG,2024,2,K,1,0,0,0,0,-1.0
Austin Seibert,WAS,2024,2,K,0,0,7,7,"['27', '45', '26', '27', '29', '33', '30']",22.8
Greg Zuerlein,NYJ,2024,2,K,3,3,1,1,['33'],6.3
Nick Folk,TEN,2024,2,K,2,2,1,1,['41'],6.1
Daniel Carlson,LVR,2024,2,K,2,2,4,4,"['53', '51', '25', '38']",19.2
Justin Tucker,BAL,2024,2,K,2,2,4,3,"['48', '42', '32']",13.2
Joshua Karty,LAR,2024,2,K,1,1,1,1,['29'],4.0
Matt Prater,ARI,2024,2,K,5,5,2,2,"['48', '57']",15.5
Evan McPherson,CIN,2024,2,K,2,1,4,4,"['22', '33', '48', '53']",16.4
Harrison Butker,KAN,2024,2,K,2,2,2,2,"['19', '51']",10.1
Chris Boswell,PIT,2024,2,K,1,1,2,2,"['22', '53']",9.3
Wil Lutz,DEN,2024,2,K,0,0,2,2,"['35', '29']",6.5
Cairo Santos,CHI,2024,2,K,1,1,2,2,"['53', '54']",11.7
Ka'imi Fairbairn,HOU,2024,2,K,1,1,4,4,"['56', '47', '59', '53']",22.500000000000004
Younghoe Koo,ATL,2024,2,K,1,1,3,3,"['39', '22', '34']",11.3
Jake Elliott,PHI,2024,2,K,1,1,2,2,"['29', '28']",7.0
Joey Slye,NWE,2024,3,K,0,0,1,1,['44'],4.4
Greg Zuerlein,NYJ,2024,3,K,3,3,2,1,['28'],5.0
Cairo Santos,CHI,2024,3,K,1,1,2,1,['53'],5.3
Matt Gay,IND,2024,3,K,3,3,0,0,0,3.0
Greg Joseph,NYG,2024,3,K,3,3,1,0,0,2.0
Dustin Hopkins,CLE,2024,3,K,1,1,1,0,0,0.0
Wil Lutz,DEN,2024,3,K,2,2,4,4,"['43', '38', '33', '43']",17.7
Chase McLaughlin,TAM,2024,3,K,1,1,0,0,0,1.0
Brayden Narveson,GNB,2024,3,K,3,3,3,3,"['21', '26', '47']",13.7
Nick Folk,TEN,2024,3,K,2,2,0,0,0,2.0
Ka'imi Fairbairn,HOU,2024,3,K,1,1,1,0,0,0.0
Will Reichard,MIN,2024,3,K,4,4,2,2,"['35', '58']",13.3
Jake Elliott,PHI,2024,3,K,1,1,1,0,0,0.0
Blake Grupe,NOR,2024,3,K,0,0,2,2,"['34', '38']",7.199999999999999
Cameron Dicker,LAC,2024,3,K,1,1,1,1,['28'],4.0
Chris Boswell,PIT,2024,3,K,2,2,3,2,"['38', '30']",7.800000000000001
Eddy Pineiro,CAR,2024,3,K,3,3,3,3,"['43', '35', '26']",13.8
Daniel Carlson,LVR,2024,3,K,2,2,1,0,0,1.0
Jason Sanders,MIA,2024,3,K,0,0,2,1,['23'],2.0
Jason Myers,SEA,2024,3,K,3,3,2,1,['56'],7.6
Jake Bates,DET,2024,3,K,3,2,0,0,0,1.0
Matt Prater,ARI,2024,3,K,1,1,2,2,"['42', '45']",9.7
Justin Tucker,BAL,2024,3,K,4,4,1,0,0,3.0
Brandon Aubrey,DAL,2024,3,K,1,1,2,2,"['65', '51']",12.6
Jake Moody,SFO,2024,3,K,3,3,2,1,['26'],5.0
Joshua Karty,LAR,2024,3,K,3,3,2,2,"['33', '37']",10.0
Harrison Butker,KAN,2024,3,K,2,1,3,3,"['53', '44', '21']",12.7
Younghoe Koo,ATL,2024,3,K,2,2,1,1,['54'],7.4
Cam Little,JAX,2024,3,K,1,1,1,1,['41'],5.1
Tyler Bass,BUF,2024,3,K,6,5,2,2,"['27', '43']",11.3
Austin Seibert,WAS,2024,3,K,5,5,1,1,['42'],9.2
Evan McPherson,CIN,2024,3,K,3,3,3,2,"['28', '31']",8.1
Brandon Aubrey,DAL,2024,4,K,2,2,3,2,"['60', '40']",11.0
Greg Joseph,NYG,2024,4,K,0,0,5,5,"['52', '41', '38', '22', '42']",20.3
Blake Grupe,NOR,2024,4,K,3,3,1,1,['43'],7.3
Younghoe Koo,ATL,2024,4,K,2,2,4,4,"['53', '44', '42', '58']",21.7
Evan McPherson,CIN,2024,4,K,4,4,2,2,"['56', '46']",14.2
Eddy Pineiro,CAR,2024,4,K,3,3,1,1,['48'],7.8
Joshua Karty,LAR,2024,4,K,0,0,5,4,"['46', '37', '25', '52']",15.5
Cairo Santos,CHI,2024,4,K,3,3,1,1,['40'],7.0
Chris Boswell,PIT,2024,4,K,3,3,1,1,['50'],8.0
Matt Gay,IND,2024,4,K,3,3,3,2,"['33', '35']",8.8
Wil Lutz,DEN,2024,4,K,1,1,2,1,['47'],4.7
Greg Zuerlein,NYJ,2024,4,K,0,0,4,3,"['23', '35', '40']",9.5
Will Reichard,MIN,2024,4,K,4,4,1,1,['33'],7.3
Brayden Narveson,GNB,2024,4,K,3,3,2,0,0,1.0
Cam Little,JAX,2024,4,K,2,2,2,2,"['41', '52']",11.3
Ka'imi Fairbairn,HOU,2024,4,K,3,3,1,1,['30'],6.0
Jake Elliott,PHI,2024,4,K,2,2,0,0,0,2.0
Chase McLaughlin,TAM,2024,4,K,4,3,2,2,"['21', '52']",10.2
Austin Seibert,WAS,2024,4,K,4,4,2,2,"['45', '38']",12.3
Matt Prater,ARI,2024,4,K,2,2,0,0,0,2.0
Joey Slye,NWE,2024,4,K,1,1,2,2,"['63', '54']",12.7
Jake Moody,SFO,2024,4,K,3,3,3,3,"['22', '26', '41']",13.1
Dustin Hopkins,CLE,2024,4,K,2,1,1,1,['56'],5.6
Daniel Carlson,LVR,2024,4,K,2,2,2,2,"['52', '34']",10.6
Harrison Butker,KAN,2024,4,K,2,2,2,1,['37'],4.7
Cameron Dicker,LAC,2024,4,K,1,1,2,1,['50'],5.0
Tyler Bass,BUF,2024,4,K,1,1,2,1,['50'],5.0
Justin Tucker,BAL,2024,4,K,5,5,0,0,0,5.0
Nick Folk,TEN,2024,4,K,2,2,5,5,"['53', '52', '47', '51', '29']",25.3
Jason Sanders,MIA,2024,4,K,0,0,2,2,"['44', '56']",10.0
Jason Myers,SEA,2024,4,K,3,3,1,0,0,2.0
Jake Bates,DET,2024,4,K,6,6,0,0,0,6.0
Chase McLaughlin,TAM,2024,5,K,3,3,3,3,"['53', '32', '53']",16.8
Younghoe Koo,ATL,2024,5,K,3,3,5,3,"['54', '48', '52']",16.4
Greg Zuerlein,NYJ,2024,5,K,2,2,1,1,['32'],5.2
Will Reichard,MIN,2024,5,K,2,2,3,3,"['54', '53', '41']",16.799999999999997
Tyler Bass,BUF,2024,5,K,2,2,2,2,"['38', '33']",9.1
Ka'imi Fairbairn,HOU,2024,5,K,2,2,3,3,"['50', '47', '59']",17.6
Eddy Pineiro,CAR,2024,5,K,1,1,2,1,['27'],3.0
Cairo Santos,CHI,2024,5,K,4,3,1,1,['33'],5.3
Justin Tucker,BAL,2024,5,K,5,5,2,2,"['56', '24']",13.6
Evan McPherson,CIN,2024,5,K,4,4,1,0,0,3.0
Dustin Hopkins,CLE,2024,5,K,1,1,2,2,"['51', '31']",9.2
Austin Seibert,WAS,2024,5,K,4,4,2,2,"['27', '30']",10.0
Matt Gay,IND,2024,5,K,4,4,2,2,"['30', '37']",10.7
Cam Little,JAX,2024,5,K,4,4,3,3,"['23', '30', '49']",14.9
Jason Sanders,MIA,2024,5,K,0,0,4,3,"['54', '32', '47']",12.3
Joey Slye,NWE,2024,5,K,1,1,2,1,['38'],3.8
Chad Ryland,ARI,2024,5,K,1,1,4,3,"['30', '42', '35']",10.7
Jake Moody,SFO,2024,5,K,2,2,2,2,"['28', '20']",8.0
Mitch Wishnowsky,SFO,2024,5,K,0,0,1,1,['26'],3.0
Daniel Carlson,LVR,2024,5,K,1,1,1,1,['40'],5.0
Wil Lutz,DEN,2024,5,K,4,4,2,2,"['51', '44']",13.5
Brayden Narveson,GNB,2024,5,K,3,3,1,1,['46'],7.6
Joshua Karty,LAR,2024,5,K,2,1,0,0,0,0.0
Greg Joseph,NYG,2024,5,K,2,2,3,3,"['38', '31', '24']",11.9
Jason Myers,SEA,2024,5,K,2,2,3,2,"['43', '48']",10.1
Brandon Aubrey,DAL,2024,5,K,2,2,3,2,"['55', '33']",9.8
Chris Boswell,PIT,2024,5,K,2,2,1,1,['41'],6.1
Blake Grupe,NOR,2024,5,K,2,1,0,0,0,0.0
Harrison Butker,KAN,2024,5,K,2,2,5,4,"['26', '34', '28', '38']",14.2
Matthew Wright,SFO,2024,6,K,3,3,3,3,"['25', '41', '35']",13.6
Jason Myers,SEA,2024,6,K,3,3,1,1,['20'],6.0
Cam Little,JAX,2024,6,K,1,1,1,1,['30'],4.0
Cairo Santos,CHI,2024,6,K,5,5,1,0,0,4.0
Dustin Hopkins,CLE,2024,6,K,1,1,4,3,"['43', '49', '31']",12.3
Jake Elliott,PHI,2024,6,K,2,2,3,2,"['49', '44']",10.3
Matt Gay,IND,2024,6,K,2,2,2,2,"['26', '22']",8.0
Nick Folk,TEN,2024,6,K,2,2,1,1,['44'],6.4
Chad Ryland,ARI,2024,6,K,1,1,2,2,"['38', '40']",8.8
Brayden Narveson,GNB,2024,6,K,4,4,3,2,"['36', '41']",10.7
Ka'imi Fairbairn,HOU,2024,6,K,5,5,3,2,"['39', '46']",12.5
Joey Slye,NWE,2024,6,K,3,3,0,0,0,3.0
Chase McLaughlin,TAM,2024,6,K,6,6,1,1,['26'],9.0
Blake Grupe,NOR,2024,6,K,3,3,2,2,"['42', '29']",10.2
Austin Seibert,WAS,2024,6,K,2,2,4,3,"['42', '55', '49']",15.6
Justin Tucker,BAL,2024,6,K,3,3,3,3,"['45', '32', '39']",14.6
Cameron Dicker,LAC,2024,6,K,2,2,3,3,"['20', '33', '46']",12.9
Wil Lutz,DEN,2024,6,K,1,1,1,1,['40'],5.0
Chris Boswell,PIT,2024,6,K,2,2,4,4,"['52', '49', '37', '36']",19.4
Daniel Carlson,LVR,2024,6,K,1,1,0,0,0,1.0
Younghoe Koo,ATL,2024,6,K,3,3,3,3,"['21', '31', '35']",12.6
Eddy Pineiro,CAR,2024,6,K,2,2,2,2,"['24', '40']",9.0
Jake Bates,DET,2024,6,K,5,5,4,4,"['40', '48', '33', '33']",20.4
Brandon Aubrey,DAL,2024,6,K,0,0,3,3,"['34', '47', '50']",13.1
Evan McPherson,CIN,2024,6,K,2,2,1,1,['37'],5.7
Greg Joseph,NYG,2024,6,K,1,1,2,0,0,-1.0
Tyler Bass,BUF,2024,6,K,3,2,2,1,['22'],3.0
Greg Zuerlein,NYJ,2024,6,K,2,2,4,2,"['34', '22']",6.4
Wil Lutz,DEN,2024,7,K,3,3,4,4,"['46', '32', '52', '38']",19.8
Blake Grupe,NOR,2024,7,K,1,1,1,1,['35'],4.5
Joey Slye,NWE,2024,7,K,1,1,1,1,['41'],5.1
Cam Little,JAX,2024,7,K,3,3,1,1,['21'],6.0
Jake Bates,DET,2024,7,K,4,4,1,1,['44'],8.4
Will Reichard,MIN,2024,7,K,2,2,3,3,"['57', '42', '48']",16.7
Jason Myers,SEA,2024,7,K,4,4,2,2,"['38', '59']",13.7
Younghoe Koo,ATL,2024,7,K,2,2,1,0,0,1.0
Nick Folk,TEN,2024,7,K,1,1,1,1,['25'],4.0
Tyler Bass,BUF,2024,7,K,4,4,2,2,"['28', '30']",10.0
Evan McPherson,CIN,2024,7,K,3,3,1,0,0,2.0
Dustin Hopkins,CLE,2024,7,K,1,0,1,0,0,-2.0
Jason Sanders,MIA,2024,7,K,1,1,2,1,['33'],3.3
Matt Gay,IND,2024,7,K,1,1,3,3,"['52', '22', '38']",13.0
Ka'imi Fairbairn,HOU,2024,7,K,1,1,3,3,"['23', '52', '35']",12.7
Brandon McManus,GNB,2024,7,K,3,3,1,1,['45'],7.5
Jake Elliott,PHI,2024,7,K,4,4,0,0,0,4.0
Greg Joseph,NYG,2024,7,K,0,0,1,1,['38'],3.8
Eddy Pineiro,CAR,2024,7,K,1,1,0,0,0,1.0
Austin Seibert,WAS,2024,7,K,4,4,4,4,"['23', '49', '31', '29']",18.0
Daniel Carlson,LVR,2024,7,K,0,0,5,5,"['38', '47', '38', '27', '27']",18.3
Joshua Karty,LAR,2024,7,K,3,2,1,0,0,0.0
Harrison Butker,KAN,2024,7,K,4,4,0,0,0,4.0
Anders Carlson,SFO,2024,7,K,1,0,2,2,"['55', '24']",7.5
Greg Zuerlein,NYJ,2024,7,K,1,1,1,0,0,0.0
Chris Boswell,PIT,2024,7,K,4,4,3,3,"['46', '29', '21']",14.6
Justin Tucker,BAL,2024,7,K,5,5,2,2,"['28', '52']",13.2
Chase McLaughlin,TAM,2024,7,K,2,2,2,1,['23'],4.0
Cameron Dicker,LAC,2024,7,K,0,0,5,5,"['59', '50', '28', '47', '40']",22.6
Chad Ryland,ARI,2024,7,K,2,2,1,1,['32'],5.2
Will Reichard,MIN,2024,8,K,2,2,2,2,"['23', '35']",8.5
Joshua Karty,LAR,2024,8,K,4,4,0,0,0,4.0
Nick Folk,TEN,2024,8,K,2,2,0,0,0,2.0
Jake Bates,DET,2024,8,K,7,7,1,1,['51'],12.1
Younghoe Koo,ATL,2024,8,K,4,4,2,1,['39'],6.9
Chase McLaughlin,TAM,2024,8,K,3,3,1,1,['52'],8.2
Jake Elliott,PHI,2024,8,K,4,4,3,3,"['39', '49', '47']",17.5
Evan McPherson,CIN,2024,8,K,2,2,2,1,['27'],4.0
Justin Tucker,BAL,2024,8,K,3,3,2,1,['49'],6.9
Dustin Hopkins,CLE,2024,8,K,2,2,3,3,"['28', '33', '48']",13.1
Matt Gay,IND,2024,8,K,2,2,2,2,"['46', '37']",10.3
