name,team,opponent,date,year,week,position,fpoints_ppr
Jonathan Taylor,IND,MIA,2025-09-07,2025,1,RB,12.8
Jonathan Taylor,IND,DEN,2025-09-14,2025,2,RB,32.5
Jonathan Taylor,IND,TEN,2025-09-21,2025,3,RB,35.8
Jonathan Taylor,IND,LAR,2025-09-28,2025,4,RB,14.6
Jonathan Taylor,IND,LVR,2025-10-05,2025,5,RB,31.6
Jonathan Taylor,IND,ARI,2025-10-12,2025,6,RB,26.7
Jonathan Taylor,IND,LAC,2025-10-19,2025,7,RB,34.2
Jonathan Taylor,IND,TEN,2025-10-26,2025,8,RB,40.4
Jonathan Taylor,IND,PIT,2025-11-02,2025,9,RB,7.7
Jonathan Taylor,IND,ATL,2025-11-09,2025,10,RB,52.6
Jonathan Taylor,IND,KAN,2025-11-23,2025,12,RB,8.6
Jonathan Taylor,IND,HOU,2025-11-30,2025,13,RB,15.1
Christian McCaffrey,SFO,SEA,2025-09-07,2025,1,RB,23.2
Christian McCaffrey,SFO,NOR,2025-09-14,2025,2,RB,22.7
Christian McCaffrey,SFO,ARI,2025-09-21,2025,3,RB,24.0
Christian McCaffrey,SFO,JAX,2025-09-28,2025,4,RB,26.1
Christian McCaffrey,SFO,LAR,2025-10-02,2025,5,RB,27.9
Christian McCaffrey,SFO,TAM,2025-10-12,2025,6,RB,24.1
Christian McCaffrey,SFO,ATL,2025-10-19,2025,7,RB,42.1
Christian McCaffrey,SFO,HOU,2025-10-26,2025,8,RB,9.8
Christian McCaffrey,SFO,NYG,2025-11-02,2025,9,RB,37.3
Christian McCaffrey,SFO,LAR,2025-11-09,2025,10,RB,17.6
Christian McCaffrey,SFO,ARI,2025-11-16,2025,11,RB,35.1
Christian McCaffrey,SFO,CAR,2025-11-24,2025,12,RB,27.2
Christian McCaffrey,SFO,CLE,2025-11-30,2025,13,RB,17.4
Jahmyr Gibbs,DET,GNB,2025-09-07,2025,1,RB,15.0
Jahmyr Gibbs,DET,CHI,2025-09-14,2025,2,RB,19.4
Jahmyr Gibbs,DET,BAL,2025-09-22,2025,3,RB,26.9
Jahmyr Gibbs,DET,CLE,2025-09-28,2025,4,RB,17.7
Jahmyr Gibbs,DET,CIN,2025-10-05,2025,5,RB,16.7
Jahmyr Gibbs,DET,KAN,2025-10-12,2025,6,RB,7.5
Jahmyr Gibbs,DET,TAM,2025-10-20,2025,7,RB,39.8
Jahmyr Gibbs,DET,MIN,2025-11-02,2025,9,RB,5.8
Jahmyr Gibbs,DET,WAS,2025-11-09,2025,10,RB,41.2
Jahmyr Gibbs,DET,PHI,2025-11-16,2025,11,RB,22.6
Jahmyr Gibbs,DET,NYG,2025-11-23,2025,12,RB,58.4
Jahmyr Gibbs,DET,GNB,2025-11-27,2025,13,RB,11.6
Bijan Robinson,ATL,TAM,2025-09-07,2025,1,RB,27.4
Bijan Robinson,ATL,MIN,2025-09-14,2025,2,RB,22.8
Bijan Robinson,ATL,CAR,2025-09-21,2025,3,RB,16.1
Bijan Robinson,ATL,WAS,2025-09-28,2025,4,RB,31.1
Bijan Robinson,ATL,BUF,2025-10-13,2025,6,RB,38.8
Bijan Robinson,ATL,SFO,2025-10-19,2025,7,RB,21.2
Bijan Robinson,ATL,MIA,2025-10-26,2025,8,RB,6.8
Bijan Robinson,ATL,NWE,2025-11-02,2025,9,RB,17.6
Bijan Robinson,ATL,IND,2025-11-09,2025,10,RB,10.8
Bijan Robinson,ATL,CAR,2025-11-16,2025,11,RB,33.3
Bijan Robinson,ATL,NOR,2025-11-23,2025,12,RB,14.7
Bijan Robinson,ATL,NYJ,2025-11-30,2025,13,RB,33.3
De'Von Achane,MIA,IND,2025-09-07,2025,1,RB,16.5
De'Von Achane,MIA,NWE,2025-09-14,2025,2,RB,26.2
De'Von Achane,MIA,BUF,2025-09-18,2025,3,RB,16.1
De'Von Achane,MIA,NYJ,2025-09-29,2025,4,RB,17.1
De'Von Achane,MIA,CAR,2025-10-05,2025,5,RB,16.6
De'Von Achane,MIA,LAC,2025-10-12,2025,6,RB,34.0
De'Von Achane,MIA,CLE,2025-10-19,2025,7,RB,12.8
